,A�o,Equipo,Nombre ,Nacionalidad,Edad,Posicion 
337,2015,Juventus,Stephan Lichtsteiner,Suiza,31,Lateral derecho
338,2015,Juventus,Marco Motta,Italia,29,Lateral derecho
339,2015,Juventus,Federico Mattiello,Italia,19,Lateral derecho
340,2015,Juventus,Andrea Pirlo,Italia,36,Mediocampista defensivo
341,2015,Juventus,Paul Pogba,Francia,22,Mediocampista
342,2015,Juventus,Arturo Vidal,Chile,28,Mediocampista
343,2015,Juventus,Claudio Marchisio,Italia,29,Mediocampista
344,2015,Juventus,Roberto Pereyra,Argentina,24,Mediocampista
345,2015,Juventus,Rômulo,Italia,28,Mediocampista
346,2015,Juventus,Stefano Sturaro,Italia,22,Mediocampista
347,2015,Juventus,Simone Padoin,Italia,31,Mediocampista
348,2015,Juventus,Mattia Vitale,Italia,17,Mediocampista
349,2015,Juventus,Kwadwo Asamoah,Ghana,26,Mediocampista
350,2015,Juventus,Kingsley Coman,Francia,19,Extremo izquierdo
351,2015,Juventus,Simone Pepe,Italia,31,Extremo derecho
352,2015,Juventus,Sebastian Giovinco,Italia,28,Mediocampista ofensivo
353,2015,Juventus,Carlos Tevez,Argentina,31,Delantero centro
354,2015,Juventus,Álvaro Morata,España,22,Delantero centro
355,2015,Juventus,Fernando Llorente,España,30,Delantero centro
356,2015,Juventus,Alessandro Matri,Italia,30,Delantero centro
357,2016,Real Madrid,Keylor Navas,Costa rica,29,Portero
358,2016,Real Madrid,Kiko Casilla,España,29,Portero
359,2016,Real Madrid,Rubén Yáñez,España,22,Portero
360,2016,Real Madrid,Álex Craninx,Belgica,20,Portero
361,2016,Real Madrid,Sergio Ramos,España,30,Defensa central 
362,2016,Real Madrid,Raphaël Varane ,Francia,23,Defensa central 
363,2016,Real Madrid,Danilo,Brasil,24,Lateral derecho
364,2016,Real Madrid,Pepe,Portugal,33,Defensa central 
365,2016,Real Madrid,Nacho Fernández,España,26,Defensa central 
366,2016,Real Madrid,Philipp Lienhart,Austria,19,Defensa central 
367,2016,Real Madrid,Marcelo,Brasil,28,Lateral Izquierdo
368,2016,Real Madrid,Daniel Carvajal,España,24,Lateral derecho
369,2016,Real Madrid,Lucas Vázquez,España,24,Lateral derecho
370,2016,Real Madrid,Álvaro Arbeloa,España,33,Lateral derecho
371,2016,Real Madrid,Álvaro Tejero,España,19,Lateral derecho
372,2016,Real Madrid,Casemiro,Brasil,24,Mediocampista defensivo
373,2016,Real Madrid,Toni Kroos,Alemania,26,Mediocampista
374,2016,Real Madrid,Luka Modric,Croacia,30,Mediocampista
375,2016,Real Madrid,Mateo Kovacic,Croacia,22,Mediocampista
376,2016,Real Madrid,Marcos Llorente,España,21,Mediocampista defensivo
377,2016,Real Madrid,James Rodríguez,Colombia,24,Mediocampista ofensivo
378,2016,Real Madrid,Isco,España,24,Mediocampista ofensivo
379,2016,Real Madrid,Martin Ødegaard,Noruega,17,Mediocampista ofensivo
380,2016,Real Madrid,Jesé Rodríguez,España,23,Extremo izquierdo
381,2016,Real Madrid,Denis Cheryshev,Rusia,25,Extremo izquierdo
382,2016,Real Madrid,José Carlos Lazo,España,20,Extremo izquierdo
383,2016,Real Madrid,Gareth Bale,Gales,26,Extremo derecho
384,2016,Real Madrid,Cristiano Ronaldo,Portugal,31,Extremo izquierdo
385,2016,Real Madrid,Karim Benzema,Francia,28,Delantero centro
386,2016,Real Madrid,Borja Mayoral,España,19,Delantero centro
387,2016,Atletico de Madrid,Jan Oblak,Eslovenia,23,Portero
388,2016,Atletico de Madrid,Miguel Ángel Moyá,España,32,Portero
389,2016,Atletico de Madrid,Diego Godín,Uruguay,30,Defensa central 
390,2016,Atletico de Madrid,José María Giménez,Uruguay,21,Defensa central 
391,2016,Atletico de Madrid,Stefan Savic,Montenegro,25,Defensa central 
392,2016,Atletico de Madrid,Nacho Monsalve,España,22,Defensa central 
393,2016,Atletico de Madrid,Filipe Luís,Brasil,30,Lateral izquierdo
394,2016,Atletico de Madrid,Lucas Hernández,Francia,20,Defensa central 
395,2016,Atletico de Madrid,Guilherme Siqueira,Brasil,30,Lateral izquierdo
396,2016,Atletico de Madrid,Theo Hernández,Francia,18,Lateral izquierdo
397,2016,Atletico de Madrid,Juanfran Torres,España,31,Lateral derecho
398,2016,Atletico de Madrid,Jesús Gámez,España,31,Lateral derecho
399,2016,Atletico de Madrid,Borja González,España,20,Lateral derecho
400,2016,Atletico de Madrid,Matías Kravenitter,Argentino,23,Mediocampista defensivo
401,2016,Atletico de Madrid,Thomas Partey,Ghana ,23,Mediocampista defensivo
402,2016,Atletico de Madrid,Koké,España,24,Mediocampista
403,2016,Atletico de Madrid,Saúl Ñíguez,España,21,Mediocampista
404,2016,Atletico de Madrid,Óliver Torres,España,21,Mediocampista
405,2016,Atletico de Madrid,Gabi,España,32,Mediocampista
406,2016,Atletico de Madrid,Augusto Fernández,Argentina,30,Mediocampista
407,2016,Atletico de Madrid,Tiago Mendes,Portugal,35,Mediocampista
408,2016,Atletico de Madrid,Yannick Carrasco,Belgica,22,Extremo izquierdo
409,2016,Atletico de Madrid,Samuel Villa,España,21,Extremo izquierdo
