,Año,Equipo,Nombre,Nacionalidad,Edad,Posicion,season,winner-country,winner,score,runner-up,runner-up-country,stadium,final-city,final-country,attendance,winning-way,year,winner_score,runner_up_score
102,2011,Manchester United,Dimitar Berbatov,Bulgaria,30,Delantero centro,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
103,2011,Manchester United,Javier HernÃ¡ndez,MÃ©xico,23,Delantero centro,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
104,2011,Manchester United,Michael Owen,Inglaterra,31,Delantero centro,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
105,2011,Manchester United,Danny Welbeck,Inglaterra,20,Delantero centro,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
106,2011,Manchester United,Mame Diouf,Senegal,23,Delantero centro,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
107,2011,Manchester United,Federico Macheda,Italia,19,Delantero centro,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
108,2012,Bayern Munich,Manuel Neuer,Alemania,26,Portero,2011–12,Inglaterra,Chelsea,1–1,Bayern Munich,Alemania,Allianz Arena,Munich,Alemania,62500,penalty,2012,1,1
109,2012,Bayern Munich,Hans-JÃ¶rg Butt,Alemania,38,Portero,2011–12,Inglaterra,Chelsea,1–1,Bayern Munich,Alemania,Allianz Arena,Munich,Alemania,62500,penalty,2012,1,1
110,2012,Bayern Munich,Maximiliam RiedmÃ¼ller,Alemania,24,Portero,2011–12,Inglaterra,Chelsea,1–1,Bayern Munich,Alemania,Allianz Arena,Munich,Alemania,62500,penalty,2012,1,1
111,2012,Bayern Munich,Rouven Sattelmaier,Alemania,24,Portero,2011–12,Inglaterra,Chelsea,1–1,Bayern Munich,Alemania,Allianz Arena,Munich,Alemania,62500,penalty,2012,1,1
112,2012,Bayern Munich,Holger Badstuber,Alemania,23,Defensa central ,2011–12,Inglaterra,Chelsea,1–1,Bayern Munich,Alemania,Allianz Arena,Munich,Alemania,62500,penalty,2012,1,1
113,2012,Bayern Munich,David Alaba,Austria,20,Defensa central ,2011–12,Inglaterra,Chelsea,1–1,Bayern Munich,Alemania,Allianz Arena,Munich,Alemania,62500,penalty,2012,1,1
114,2012,Bayern Munich,JÃ©rÃ´me Boateng,Alemania,23,Defensa central ,2011–12,Inglaterra,Chelsea,1–1,Bayern Munich,Alemania,Allianz Arena,Munich,Alemania,62500,penalty,2012,1,1
115,2012,Bayern Munich,Daniel Van Buyten,Bulgaria,34,Defensa central ,2011–12,Inglaterra,Chelsea,1–1,Bayern Munich,Alemania,Allianz Arena,Munich,Alemania,62500,penalty,2012,1,1
