Año,Equipo,Nombre ,Nacionalidad,Edad,Posicion 
2016,Atletico de Madrid,Diego Godín,Uruguay,30,Defensa central 
2016,Atletico de Madrid,José María Giménez,Uruguay,21,Defensa central 
2016,Atletico de Madrid,Stefan Savic,Montenegro,25,Defensa central 
2016,Atletico de Madrid,Nacho Monsalve,España,22,Defensa central 
2016,Atletico de Madrid,Filipe Luís,Brasil,30,Lateral izquierdo
2016,Atletico de Madrid,Lucas Hernández,Francia,20,Defensa central 
2016,Atletico de Madrid,Guilherme Siqueira,Brasil,30,Lateral izquierdo
2016,Atletico de Madrid,Theo Hernández,Francia,18,Lateral izquierdo
2016,Atletico de Madrid,Juanfran Torres,España,31,Lateral derecho
2016,Atletico de Madrid,Jesús Gámez,España,31,Lateral derecho
2016,Atletico de Madrid,Borja González,España,20,Lateral derecho
2016,Atletico de Madrid,Matías Kravenitter,Argentino,23,Mediocampista defensivo
2016,Atletico de Madrid,Thomas Partey,Ghana ,23,Mediocampista defensivo
2016,Atletico de Madrid,Koké,España,24,Mediocampista
2016,Atletico de Madrid,Saúl Ñíguez,España,21,Mediocampista
2016,Atletico de Madrid,Óliver Torres,España,21,Mediocampista
2016,Atletico de Madrid,Gabi,España,32,Mediocampista
2016,Atletico de Madrid,Augusto Fernández,Argentina,30,Mediocampista
2016,Atletico de Madrid,Tiago Mendes,Portugal,35,Mediocampista
2016,Atletico de Madrid,Yannick Carrasco,Belgica,22,Extremo izquierdo
2016,Atletico de Madrid,Samuel Villa,España,21,Extremo izquierdo
2016,Atletico de Madrid,Ángel Correa,Argentina,21,Delantero centro
2016,Atletico de Madrid,Antoine Griezmann,Francia,25,Delantero centro
2016,Atletico de Madrid,Luciano Vietto,Argentina,22,Delantero centro
2016,Atletico de Madrid,Jackson Martínez,Colombia,29,Delantero centro
2016,Atletico de Madrid,Raúl García ,España,29,Delantero centro
2016,Atletico de Madrid,Fernando Torres,España,32,Delantero centro
2016,Atletico de Madrid,Roberto Núñez,España,20,Delantero centro
2017,Real Madrid,Keylor Navas,Costa Rica,30,Portero
2017,Real Madrid,Kiko Casilla,España,30,Portero
